"","text"
"1",""
"2",""
"3","sunny december day working airport climatechange globalwarming lovinglife airportbumpictwittercommljtjzc"
"4","mt"
"5","different kind message bottle cool story arctic climatechange"
"6","reduced energy consumption drastic thanks hydro workers trying best icestorm climatechange"
"7","thought never say weather sucks aint decemberchristmas weather fog ¿que la fregada climatechange"
"8","scary mt"
"9","biggest flood icestorm decades toronto humans impact climatechange ass pictwittercomuzoppwvqk"
"10","watch mt"
"11","first day winter east coast globalwarming still kicking climatechange pictwittercompmmsvqzkf"
"12","winter cold summer hot"
"13","degrees almost christmas patiodrinking shoneys krispykreme verytennessee climatechange"
"14","outdoor beer garden december th take climatechange mixedfeelings"
"15","notice warm november one"
"16","worlds powerful greenhouse gas discovered quantities great enough issue"
"17","poor frosty"
"18","excellent summary climatechange heat now must act"
"19","like degree days december climatechange"
"20","noaaclimate video climatechange amplified poles scientist explains"
"21","thoughtprovoking"
"22","wow computer program pretty much predicted hurricane sandy program nobody listens climatechange"
"23","watching mega disasters h think everyone watching glacier meltdown climatechange"
"24","climatechange just global warming hence four snowstorms week"
"25","somebody loves snow awesome pic egypt nice find"
"26","john f kerry way served vietnam climatechange"
"27","climatechange ass snow sphinx says village idiot climatechange"
"28","paralyzed climatechange deniers"
"29","climatechange happening"
"30","snow ed egypt climatechange fantasy"
"31","egypt sees first snow years ppl say climatechange real"
"32","countries face extremely high water stress levels"
"33","snowfall cairo damn years making climatechange"
"34","snow cairo first time years climatechange pictwittercomuxfovtpld"
"35","climate legislative executive workgroup climatechange"
"36","sad c expensive electricity ab using coal dump co atmosphere abpoli ghg climatechange"
"37","snow egypt syria lebanon thunk climatechange"
"38","state union alivingwage getcovered gunviolence jobs immigrationreform climatechange irantalks infrastructure uniteblue"
"39","definitely fault ymm oilsands feel really bad climatechange"
"40","w dr hugh gladwin"
"41","jordan snow vermont climatechange pictwittercomoypxjuxli"
"42","yegs response climatechange mt"
"43","put brakes oilsands major ab newspaper via"
"44","thx opportunity present day"
"45","typical cnn reportage climatechange"
"46","fact see smoke bow power plant hopkinson slightly pathetic climatechange psnh"
"47","satellite images show china covered smog cloud big germany smog magnitude affect global climate climatechange"
"48","long will libs embrace dishonesty ignorance climatechange debt fiatcurrency medicare medicad irs benghazi nhs unemployment"
"49","note post"
"50","headed"
"51","climatechange minds surprising insights studies experience canadas inuit"
"52","climatechange great threat multiplier"
"53","podesta ex chief staff bill clinton head obama transition team join wh w climatechange focus"
"54","cold discomfort antarctica set record ° yall"
"55","anybody noticed extreme weather increasingly becoming top story news good trend climatechange"
"56","climatechange maybe instead hella rain december get snow"
"57","million year old arctic ice will gone lifetimes climatechange"
"58","winter cometh climatechange la freezing needlongjohns carhartt"
"59","climatechange christmas fun whole family sustainabilitypictwittercomsfcslar"
"60","give guys enough cash deny first name via"
"61","rationale denying climatechange look cold december probably scientist tcot gop uniteblue"
"62","actually ready winter weather climatechange"
"63","humanity fight forces nature"
"64","cute climatechange cute"
"65","nancy sutley"
"66","argue science patrice simms climatechange humanimpactsdc"
"67","unchecked free markets like organised crime fletcher climatechange economy"
"68","must first time seen people wearing shorts tshirts newyork december climatechange spring"
"69","pennsylvanias new environmental chief says climatechange big deal"
"70","obama announcing renewable goal fed govt nyt reporting oil majors planning carbon tax good news climatechange action"
"71","ten whales dead others beached florida gulf biologist puzzled magneticpoles climatechange"
"72","todays top political news inc budgetdeal obamacare irs climatechange read"
"73","despite regulatory efforts obama administration climatechange community big players sitting hands money"
"74","climatechange can produce ecosystem malfunction risk"
"75","addressing climatechange like gravity ignore peril says bsr"
