"","text"
"1","8 million acres chinas farmland now polluted food"
"2","litter keep nice clean peeps nice day"
"3",""
"4","minnesotas season closes 237 wolves killed"
"5","drinking drinking 10 glasses daily cleanwater health fitness organics yoga"
"6","drinking drinking 10 glasses daily cleanwater health fitness organics"
"7","drinking drinking 10 glasses cleanwater daily fitness health organics"
"8","drinking drinking 10 glasses cleanwater daily health fitness organics"
"9","drinking drinking cleanwater 10 glasses daily fitness health organics"
"10","drinking drinking 10 glasses cleanwater daily fitness health"
"11","say goodbye plastic bags cali green plastic carbonfootprint"
"12","love ecochallenge app everyone download helpful sustainability"
"13","drinking drinking 10 glasses daily cleanwater organics"
"14","drinking drinking 10 glasses daily cleanwater health fitness"
"15","ebook nature lover child"
"16","feel like hippie blinds open instead lights thinkgreen"
"17","drinking drinking 10 glasses cleanwater daily health fitness"
"18","drinking drinking health fitness 10 glasses daily cleanwater"
"19","want 2014 obama helps jobs4americans overturn citizensunited begin hillary2016pictwittercompyrjgfxmmi"
"20",""
"21","dumping potomac takecare"
"22","meeting stream water quality stormwater tree planting sandysprings"
"23","drinking drinking 10 glasses daily cleanwater organics health fitness"
"24","drinking drinking drinking 10 glasses cleanwater daily fitness health"
"25","drinking drinking drinking 10 glasses daily cleanwater organics health fitness"
"26","drink fitness health 10 glasses daily cleanwater"
"27","best time plant tree 20 yrs ago 2ndbest time nowafrican proverb quotes forest growth"
"28","shockerclimatechange deniers backed secret network billionaires"
"29","2014 critical year politics climatechange"
"30","drinking cleanwater health"
"31","drinking health fitness 10 glasses daily cleanwater organics"
"32","merry christmas know wrapping paper recycled nyc just remove ribbons bows christmas"
"33","haarp machine needs destroyed haarp betrayal"
"34","letter liberty utilities must rethink impact project"
"35","checking report sewage spill tega cay often seems happen heavy rain lakewylie"
"36","much electricity waste christmas u think lol"
"37","drink health 10 glasses daily cleanwater"
"38","oil made northdakota rich naturalgas"
"39","metrotown burnaby sunday 22 11am idlenomore water gotland noembridge prayer"
"40","pioneer trail lake tahoe gets led lighting upgrade"
"41","trpa honors citizens helping preserve lake tahoe"
"42","friendly holiday tips"
"43","landfill fire caymanislands dump waste tires igvideo grandcayman pollution"
"44","wind energy rapidly becoming cheaper coal oil"
"45","petition speak wolverines losing habitat"
"46","remember recycle"
"47","petition keep oil exploration virunga national park"
"48","ask congress enact moratorium ivory trade us"
"49","marchetta economics walkability bikeability via"
"50","best bring mine"
"51","care animal rights fashion"
"52","petition let farmers kill turtle doves"
"53","travel mug reliable helps save better ctr now carries keepcupspictwittercomobfog7lxbc"
"54","tell world governments support renewable energy dams"
"55","consider solar thermal water heater"
"56","son god happy knows god experience strain"
"57","natural function well acm trinitycmoventcom"
"58","nytimes california plans tighter control fracking enough"
"59","drink cleanwater 10 glasses daily recycle"
"60","part fight strain raw material depletion slam bambam cardboard recycling"
"61","vermont law school releases watch list 2014 keystone number one"
"62","news related coal ash pond joliet"
"63","california quench thirst protect businessweek via"
"64","fabulous lake tahoe bonsai rock graffiti cleanup"
"65","man refused adapt instead adapted suit"
"66","2 repub mayors talking cities got moving climatechange guided citizens core values stateofclimatechange"
"67","bill gates top 7 books 2013"
"68","horrifying fight government save anseladams"
"69","getting waste audit team ready begin implement full scale cafe recycling program pictwittercomevjdslgj1o"
"70","drink 10 glasses cleanwater daily cleanwaterwednesday"
"71","uw faculty wishes safe happy sustainable holiday"
"72","modern miami luxe luxury living chic custom bathroom zen relaxing"
"73","ted turner wants namesake ballpark green space green"
"74","drink 10 glasses cleanwater daily recycling water"
"75","drink 10 glasses cleanwater daily recycling"
"76","change hang focusedmind realspit notefromkdog truth"
"77","olympic sailors disgusted rios polluted waters"
"78","better must know better exposure location"
"79","drink cleanwater"
"80","ecosystems worthy protection pictwittercomwsijoehock"
"81","erinbrockovich shoes green law legal"
"82","first day work excited happy new challenge new chateau elan internship"
"83","pee shower even taking one"
"84","drink 10 glasses daily cleanwater"
"85","surrounding important remember surround beauty"
"86","drink fitness 10 glasses daily cleanwater recycle"
"87","truth"
"88","scholarly piece published yesterday need immediate action climatechange"
"89","drink clean water recycle 10 glasses daily"
"90","kids garden"
"91","trpa local governments groups defend tahoe regional plan court via"
"92","petition stop disastrous new arctic drilling leases 123"
"93","finally able"
"94","drink 10 glasses clean water daily recycling water"
"95","drink 10 glasses clean water daily fitness healthy water recycling"
"96","effort conserve energy boyfriend live candlelight winter except cooking sustainability"
"97","fracking blame texas rocked 16 earthquakes last 3 weeks"
"98","seems governments around world put economy ahead greenmen radical rational"
"99","sometimes people appear product oftentimes simply regardless"
"100","towboat sinks mississippi iowa via"
"101","horrifying fight government save ansel adams globalwarming endmtr"
"102","taking"
"103","petition indigenous peoples take stand dams"
"104","us putting 50 heattrapping methane epa reported study"
"105","canadas populated region banning coal forever"
"106","sign petition regarding costa rica sued protecting rainforests"
"107","climate coverage fell new york times killed desk"
"108","repost teamplanet saveourtrees gogreen pictwittercomzcmcst5r5l"
"109","sad global issue"
"110","always cease amaze mt"
"111","oil companies may sinking billions useless projects"
"112","keep radioactive frack wastewater rivers"
"113","sign petition strengthen toxic chemical reform"
"114","drink 10 glasses clean water daily"
"115","think impact health energy"
"116","canadas real international shame rob ford"
"117","nwmun2013 unep dais hard work facilitating discussion marine coastal system management pictwittercomxqwbyazhu5"
"118","refusing initiatives like taking shit toilet seat restaurant know visit"
"119","endangered now even endangered"
"120","error regarded figure innovation contradiction foil given context gordon pask"
"121","call ultraconservative care trying enjoy mothernature surroundings now"
"122","clean water drink 10 glasses daily recycle water health fitness fitnessfriday"
"123","think monkeys pictwittercomkonjgisc2z"
"124","just wrote best paper ever never able one nativegrass nativeareas turf colostate"
"125","excited2c trainer mentor"
"126","interesting video following climatechange sequoia national park"
"127","excuses cut carbon dioxide emissions now scientists urge"
"128","everyone gave meat 1xweek animals health impact viability humanity"
"129","motivated 2 save 500 sheets100 recycled paper1299 50 1199 normal paper699 pictwittercom34j8mweqvo"
"130","current trpa protection system reforged tahoe summit 2011"
"131","congresswoman seeks offshore fracking moratorium"
"132","key"
"133","apparently laws hunting female deer cubs facts debate"
"134","obsessed new ecofriendly balsam soy candle soy candle balsam tree happy"
"135","arctic drilling lead spills"
"136","fish avoid mt"
"137","stephen harpers climatechange record t ignored anymore hébert"
"138","world hurricane records keep breaking"
"139","burn canada tar sands expansion oil profit"
"140","gorgeous sunset tidepools littered oilspill tarballs health bp dwhpictwittercomkfebeqjttb"
"141","majority redstate americans believe climatechange real"
"142","king bird flying"
"143","ncrb meeting unacanada humanrights sustainability un"
"144","leaders ask help"
"145","wait hear"
"146","save money save getting one house"
"147","interesting take agriculture corn"
"148","removing fuel rods poses new risks crippled nuclear plant japan"
"149","philippines storm leaves estimated 10000 dead destruction hampers rescue via reuters"
"150","spendingqualitytimewithmylove happy ilovehermuch beautyofnature instapic"
"151","fall colours fall season tree maple leafs downtown instaclick iphonegraphy"
"152","prescott college prescott prescottcollege studentart science arizona"
"153","prescott college prescottcollege prescott arizona arizona science"
"154","second wifi joke truth instagram instagood planet gogreen trees"
