id,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
1,2019-12-01 01:00:25,JeronimoGDB,,0,0,1,"Excellent project on #Environment and #Purpose. “One of most groundbreaking product launches in recent history has been @adidas #Futurecraft Loop sneaker which was the world’s first fully #recyclable #circulareconomy #sneaker.” By @afdhelaziz, via @Forbes.https://buff.ly/34wz4hk",,@adidas @afdhelaziz @Forbes,#Environment #Purpose #Futurecraft #recyclable #circulareconomy #sneaker,1200942695893606401,https://twitter.com/JeronimoGDB/status/1200942695893606401
2,2019-12-01 00:59:27,fishnure,,0,0,1,"The hazards of using chemical fertilizers. http://tinyurl.com/pdkfbbd #sustainability #environment",,,#sustainability #environment,1200942451449647109,https://twitter.com/fishnure/status/1200942451449647109
3,2019-12-01 00:46:06,MrMarchi,,0,0,0,"The latest #Environment - A Friendly Debate! https://paper.li/mrmarchi/1321324906?edition_id=f3d7e120-13d3-11ea-a278-0cc47a0d1605 … Thanks to @DeideiOz #environment #climatechange",,@DeideiOz,#Environment #environment #climatechange,1200939092239880193,https://twitter.com/MrMarchi/status/1200939092239880193
4,2019-12-01 00:42:00,SmbsF,,0,1,3,"rt @wef @mikequindazzi @antgrasso @fisher85m #BestOf: One-third of world’s new vegetation in China and India, satellite data shows http://wef.ch/2GyJR28 #environment pic.twitter.com/aFCaqLSfJU",,@wef @mikequindazzi @antgrasso @fisher85m,#BestOf #environment,1200938059333697537,https://twitter.com/SmbsF/status/1200938059333697537
5,2019-12-01 00:28:46,fabislei7,thehill,1,0,0,"Ungrateful @jairbolsonaro deflects his responsibility to sustain #food & #preserve the #environment by scapegoating @LeoDiCaprio to excuse bolsonaro’s own I’ll will toward his #people & #country. DiCaprio would never enter into #unsafe conditions through any of his #charities!https://twitter.com/thehill/status/1200931959591055360 …",,@jairbolsonaro @LeoDiCaprio,#food #preserve #environment #people #country #unsafe #charities,1200934727903039488,https://twitter.com/fabislei7/status/1200934727903039488
6,2019-12-01 00:21:28,HuAnthoni,,0,0,1,"In Toronto, Canada they are turning its food waste into fuel. #environment #sustainability #ecoinitiative #torontohttps://lnkd.in/eFcemit",,,#environment #sustainability #ecoinitiative #torontohttps,1200932892433637376,https://twitter.com/HuAnthoni/status/1200932892433637376
7,2019-12-01 00:16:03,CsuiteTechPoint,,0,0,4,"rt @wef @mikequindazzi @antgrasso @fisher85m Five ways individuals can help save the oceans http://wef.ch/2I4nssH #nature #environment pic.twitter.com/S7gdGtYkZg",,@wef @mikequindazzi @antgrasso @fisher85m,#nature #environment,1200931529641213952,https://twitter.com/CsuiteTechPoint/status/1200931529641213952
8,2019-12-01 00:05:02,CrabDiving,,0,0,1,"Wu-Tang! “We have the ability through humane ways to fashion garments that not only serve our purpose but also, more importantly, abandon the unnecessary cruelty to animals.” - RZA #WuTang #green #environment http://bit.ly/2Oynxsq",,,#WuTang #green #environment,1200928758053711872,https://twitter.com/CrabDiving/status/1200928758053711872
9,2019-11-30 23:57:28,EarthAccounting,,0,1,0,"Plant-based holiday entertaining is easier than you think https://www.usatoday.com/story/life/2019/11/30/recipe-holiday-vegan-diet-hosting/4307586002/ … via @usatoday #food #environment",,@usatoday,#food #environment,1200926853738852353,https://twitter.com/EarthAccounting/status/1200926853738852353
10,2019-11-30 23:37:43,VoteSustainable,,0,0,0,"Australia's $37.6b international student export con - @macro_business https://www.macrobusiness.com.au/2019/11/australias-37-6b-international-student-export-con/ … ""While Australia’s international student ‘exports’ sound impressive, they are wildly exaggerated..."" #BetterNotBigger #environment #planning #housing #jobspic.twitter.com/9JgOUDgrCO",,@macro_business,#BetterNotBigger #environment #planning #housing #jobspic,1200921880993001472,https://twitter.com/VoteSustainable/status/1200921880993001472
11,2019-11-30 23:13:05,VoteSustainable,,1,1,1,"The ASX is breaking records but that doesn't mean the economy is good shape https://www.abc.net.au/news/2019-12-01/asx-soars-to-new-high-as-economy-is-rooted-in-mediocrity/11749520 … @ABCNews ""...unlikely to see a significant recovery given the constraints of low income growth and high debt levels..."" #BetterNotBigger #environment #planning #housing #jobs",,@ABCNews,#BetterNotBigger #environment #planning #housing #jobs,1200915682025541632,https://twitter.com/VoteSustainable/status/1200915682025541632
12,2019-11-30 22:59:06,HealthyFellow,,0,0,0,"Dying #Coral #Reef 'Could Be Revived' By Playing Sounds of #Healthy Coral Reefs Attn: ⁦ @CoralReefWatch⁩ ⁦ @the_ecologist⁩ ⁦ @NatGeo⁩ ⁦ @NSF⁩ ⁦ @Trends_Ecol_Evo⁩ ⁦ @cpa61⁩ ⁦ @ScienceNews⁩ #environment https://www.natureworldnews.com/articles/42794/20191130/dying-coral-reef-revived-playing-sounds-healthy-reefs.htm …",,@CoralReefWatch @the_ecologist @NatGeo @NSF @Trends_Ecol_Evo @cpa61 @ScienceNews,#Coral #Reef #Healthy #environment,1200912165416210432,https://twitter.com/HealthyFellow/status/1200912165416210432
13,2019-11-30 22:47:49,terrytamminen,,0,0,1,"Thanks @johnkerry #climatecrisis #climatechange #environment John Kerry Launches Star-Studded Climate Coalition https://nyti.ms/2qOmMT7",,@johnkerry,#climatecrisis #climatechange #environment,1200909324828082176,https://twitter.com/terrytamminen/status/1200909324828082176
14,2019-11-30 22:04:09,LmckCdaUsa,,0,0,0,"#environment https://www.cbc.ca/news/technology/spacex-starlink-astronomers-1.5378769 …",,,#environment,1200898336468951041,https://twitter.com/LmckCdaUsa/status/1200898336468951041
15,2019-11-30 22:02:15,AutismSaras,,0,1,0,"#AUTISM is NO ONE'S fault. It’s a #NEUROLOGICAL difference in the #children's #brain… possibly caused by an #interaction of #genes & #environment. #EarlyIntervention works! #Parent #Clinician #Know UR #child #KnowMore #Visit http://www.sarasautismsite.com",,,#AUTISM #NEUROLOGICAL #children #brain #interaction #genes #environment #EarlyIntervention #Parent #Clinician #Know #child #KnowMore #Visit,1200897857164697600,https://twitter.com/AutismSaras/status/1200897857164697600
16,2019-11-30 22:00:39,VioletBarkley,,0,1,0,"Some have too much. Others, too little. Let's do what we would tell our kids to do... https://violetbarkley.blogspot.com/2019/11/a-sprinkle-of-kindness.html … #environment #wildfires #flooding #business #farmingpic.twitter.com/mGizyQ70Q6",,,#environment #wildfires #flooding #business #farmingpic,1200897456508227585,https://twitter.com/VioletBarkley/status/1200897456508227585
17,2019-11-30 22:00:04,brexitfreenews,,0,0,0,"Conspiracy, commerce and climate denial: inside the parallel universe of Alan Jones https://ift.tt/2OyRzMw #brexitfree #news #environment",,,#brexitfree #news #environment,1200897306972872711,https://twitter.com/brexitfreenews/status/1200897306972872711
18,2019-11-30 21:54:02,atelier68,,0,0,0,"Elegant artwork on Blue Whale Marine Mammal Largest Animal Short Sleeve T-shirt. Created with love! Why wait? Order now risk free! https://www.amazon.com/dp/B07MPSD1B4 #artwork #artworkshops #originaldesign #bluewhale #spermwhale #mammal #environment",,,#artwork #artworkshops #originaldesign #bluewhale #spermwhale #mammal #environment,1200895790207684615,https://twitter.com/atelier68/status/1200895790207684615
19,2019-11-30 21:49:12,SenorChavezU,,0,1,0,"Traversed deep mud, crossed streams, climbed 40’ mountains, only in a #LandCruiser #FourPeaks #AZ. #finance #AI #IOT #environment #data #startups #innovation #Brexit #data #innovation #economy #marketing #business #startup #entrepreneur #weddings #wine #beerpic.twitter.com/Utf7EyyLRw",,,#LandCruiser #FourPeaks #AZ #finance #AI #IOT #environment #data #startups #innovation #Brexit #data #innovation #economy #marketing #business #startup #entrepreneur #weddings #wine #beerpic,1200894571720269825,https://twitter.com/SenorChavezU/status/1200894571720269825
