"","text"
"1",""
"2",""
"3","sunny december day working airport. climate_change globalwarming lovinglife airportbumpic.twitter.commljtjzc"
"4","mt """
"5","different kind ""message bottle."" cool story. arctic climate_change"
"6","reduced energy consumption drastic! thanks hydro workers trying best icestorm climate_change"
"7","thought never say ,... weather sucks. ain't decemberchristmas weather. fog? ¿que la fregada? climate_change"
"8","scary mt"
"9","biggest flood icestorm decades toronto. humans impact climate_change ass! pic.twitter.comuzoppwvqk"
"10","watch ! mt"
"11","first day winter east coast. globalwarming still kicking . climate_change pic.twitter.compmmsvqzkf"
"12","winter , cold summer hot"
"13","degrees almost christmas. patiodrinking shoneys krispykreme verytennessee climate_change…"
"14","outdoor beer garden december th? take . climate_change mixedfeelings"
"15","notice warm november? one."
"16","world's powerful greenhouse gas discovered. quantities great enough issue,"
"17","poor frosty"
"18","excellent summary climate_change = ' heat . now must act'"
"19","like degree days december! climate_change"
"20","noaaclimate: video: climate_change amplified poles? scientist explains:"
"21","thoughtprovoking"
"22","wow, computer program pretty much predicted hurricane sandy program. nobody listens. climate_change"
"23","watching mega disasters h, think everyone watching . ""glacier meltdown"" climate_change"
"24","climate_change just global warming. hence four snowstorms week."
"25",""""
"26","somebody loves snow, awesome pic egypt! nice find"
"27","john f kerry, way, served vietnam climate_change"
"28","climate_change ass, snow sphinx... says village idiot. climate_change"
"29","paralyzed climate_change deniers!"
"30","climate_change happening?"
"31",", snow ed egypt climate_change fantasy?"
"32","egypt sees first snow years. ppl say climate_change real..."
"33","countries face 'extremely high' water stress levels"
"34","snowfall cairo?! damn. years making. climate_change"
"35","snow cairo? first time years. climate_change pic.twitter.comuxfovtpld"
"36","climate legislative executive workgroup climate_change"
"37","sad c expensive electricity ab using coal dump co atmosphere. abpoli ghg climate_change"
"38","snow egypt, syria lebanon, thunk? climate_change"
"39","state union: alivingwage getcovered gunviolence jobs immigrationreform climate_change irantalks infrastructure uniteblue"
"40","definitely fault ymm oilsands feel really bad . climate_change"
"41","w dr. hugh gladwin"
"42","jordan snow vermont. climate_change pic.twitter.comoypxjuxli"
"43","yeg's response climate_change? mt"
"44","put brakes oilsands: major ab newspaper. via"
"45","thx opportunity present day"
"46","typical cnn reportage climate_change;"
"47","fact see smoke bow power plant hopkinson slightly pathetic climate_change psnh"
"48","satellite images show china covered smog cloud big germany. smog magnitude affect global climate? climate_change"
"49","long will libs embrace dishonesty & ignorance? climate_change debt fiatcurrency medicare medicad irs benghazi nhs unemployment?"
"50","note post """
"51","headed"
"52","climate_change minds. surprising insights studies experience canada's inuit."
"53","climate_change great threat multiplier"
"54","podesta, ex chief staff bill clinton & head obama transition team, join wh w climate_change focus"
"55","cold discomfort antarctica set record .° ya'll!"
"56","anybody noticed extreme weather increasingly becoming top story news? good trend. climate_change"
"57","climate_change maybe instead hella rain.. december.. get snow ."
"58","million year old arctic ice will gone lifetimes climate_change"
"59","winter cometh climate_change la freezing needlongjohns carhartt"
"60","climate_change christmas fun whole family!! sustainabilitypic.twitter.comsfcslar"
"61","give guys enough cash deny first name. (via"
"62","rationale denying climate_change : ""look, cold & december,"" probably scientist. tcot gop uniteblue"
"63","actually ready winter weather. climate_change"
"64","humanity fight forces nature."
"65","cute climate_change cute"
"66","nancy sutley"
"67",""" argue science"" patrice simms climate_change humanimpactsdc"
"68","unchecked free markets like organised crime. fletcher climate_change economy"
"69","must first time seen people wearing shorts tshirts newyork december climate_change spring"
"70","pennsylvania's new chief says climate_change big deal!"
"71","obama announcing % renewable goal fed govt. nyt reporting oil majors planning carbon tax. good news climate_change action."
